model,method,predicted_grade,mean_deletion_auc,std_deletion_auc,mean_insertion_auc,std_insertion_auc,n_images,grade_label
efficientnetb4,lime,1,0.0753926133736968,,0.0732288385741412,,1,Mild NPDR
efficientnetb4,lime,2,0.4950853882564438,0.1723812940867828,0.3317084628467758,0.1277353006163162,9,Moderate NPDR
efficientnetb4,lime,3,0.4788615339047586,0.1301471245686441,0.5548306722737227,0.1317646801891525,12,Severe NPDR
efficientnetb4,lime,4,0.3426153084263205,0.1472639942394226,0.378158341050148,0.1144806555561029,5,PDR
