model,method,predicted_grade,mean_deletion_auc,std_deletion_auc,mean_insertion_auc,std_insertion_auc,n_images,grade_label
efficientnetb4,gradcam,1,0.0776903204619884,,0.0686958576552569,,1,Mild NPDR
efficientnetb4,gradcam,2,0.4945157057088282,0.2146084772645897,0.3707221107143494,0.2040618338277648,9,Moderate NPDR
efficientnetb4,gradcam,3,0.4809829560341314,0.1213605343614692,0.5136480412989234,0.131322412465596,12,Severe NPDR
efficientnetb4,gradcam,4,0.3650505625084042,0.161424654156346,0.3364650385826825,0.128337305069225,5,PDR
