model,method,n,iou_mean_percentile,iou_mean_otsu,iou_wilcoxon_stat,iou_wilcoxon_p,dice_mean_percentile,dice_mean_otsu,dice_wilcoxon_stat,dice_wilcoxon_p
efficientnetb4,gradcam,27,0.007007799347214095,0.0073303849749597185,142.0,0.2686719596385956,0.013451405704176968,0.014080695959215232,140.0,0.2483380287885666
efficientnetb4,lime,27,0.006645183450686787,0.007226382935449028,127.0,0.1414058655500412,0.01288633268055337,0.01397786945734967,128.0,0.14815247058868408
efficientnetb4,shap,27,0.008733953390007718,0.007528602255436785,95.0,0.022940203547477722,0.01683298785216018,0.014612896618468076,95.0,0.022940203547477722
resnet50,gradcam,27,0.012440867026466174,0.014442893539582217,80.0,0.015287028170521083,0.023242194029325227,0.026706905746514024,82.0,0.017562701076178487
resnet50,lime,27,0.008229237483303906,0.009074568547737742,139.0,0.23857179284095764,0.01563969251690892,0.017171932976999555,136.0,0.21085703372955322
resnet50,shap,27,0.00959994627848932,0.005734640643796691,38.0,9.59634780883789e-05,0.018483703602721807,0.011189922149150752,38.0,9.59634780883789e-05
