model,method,predicted_grade,grade_label,mean_deletion_auc,std_deletion_auc,mean_insertion_auc,std_insertion_auc,n_images
efficientnetb4,gradcam,1,Mild NPDR,0.0776903204619884,,0.0686958576552569,,1
efficientnetb4,gradcam,2,Moderate NPDR,0.4945157057088282,0.21460847726458976,0.37072211071434946,0.20406183382776485,9
efficientnetb4,gradcam,3,Severe NPDR,0.4809829560341314,0.12136053436146926,0.5136480412989234,0.13132241246559606,12
efficientnetb4,gradcam,4,PDR,0.36505056250840423,0.161424654156346,0.33646503858268256,0.12833730506922508,5
