model,method,predicted_grade,deletion_auc_mean,deletion_auc_std,deletion_auc_count,insertion_auc_mean,insertion_auc_std,insertion_auc_count
efficientnetb4,lime,1,0.0753926133736968,,1,0.0732288385741412,,1
efficientnetb4,lime,2,0.4950853882564438,0.17238129408678282,9,0.3317084628467758,0.1277353006163162,9
efficientnetb4,lime,3,0.4788615339047586,0.1301471245686441,12,0.5548306722737227,0.13176468018915255,12
efficientnetb4,lime,4,0.3426153084263205,0.14726399423942263,5,0.378158341050148,0.11448065555610297,5
