model,method,predicted_grade,grade_label,mean_deletion_auc,std_deletion_auc,mean_insertion_auc,std_insertion_auc,n_images
vit_b16,attention_rollout,0,No DR,0.022011524661838804,0.04821635946862092,0.025604552328541065,0.05560170345882187,5
vit_b16,attention_rollout,1,Mild NPDR,0.0032949680397125506,0.008216675448230789,0.004496556048317328,0.011265538347745026,7
vit_b16,attention_rollout,2,Moderate NPDR,0.42733194928616286,0.21883406568540215,0.46042725820094343,0.23758522061468662,10
vit_b16,attention_rollout,3,Severe NPDR,0.7497932448983192,,0.7148603931069374,,1
vit_b16,attention_rollout,4,PDR,0.2706088286708109,0.299305857766521,0.2528639720636419,0.2974756415177317,4
