model,method,predicted_grade,grade_label,mean_deletion_auc,std_deletion_auc,mean_insertion_auc,std_insertion_auc,n_images
efficientnetb4,shap,1,Mild NPDR,0.079310281202197,,0.0638281531166285,,1
efficientnetb4,shap,2,Moderate NPDR,0.5819865055382252,0.18196207188894467,0.41632321276184586,0.23543929374309797,9
efficientnetb4,shap,3,Severe NPDR,0.46963080505374816,0.1119114723186166,0.5077215597576772,0.13763236064447837,12
efficientnetb4,shap,4,PDR,0.3540438018925488,0.11901484978403681,0.25816364742815495,0.05058975943417316,5
